"Fabric 
Number",,Weave,Mesh-opening,"Thread diameter 
nominal",Open area,"Fabric 
thickness",Theoretical ink volume,available width in cm,
cm,inch,,µm,µm,%,µm,cm³/m²,115,158
32-100W PW,83-100W PW,1:1,209,100,44.5,166,72.1,√,√
36-90W PW,92-90W PW,1:1,183,90,43.3,155,67.1,√,√
40-70W PW,100-70W PW,1:1,183,70,52,119,62,√,x
40-80W PW,103-80W PW,1:1,166,80,44.1,141,62.2,√,x
43-80W PW,110-80W PW,1:1,149,80,40.8,137,55.7,×,√
48-70W PW,123-70W PW,1:1,133,70,41.0,112,45.9,×,x
51-70W PW,131-70W PW,1:1,121,70,38.1,114,43.5,√,√
61-64W PW,156-64W PW,1:1,90,64,30.1,101,30.4,×,x
68-55W PW,175-55W PW,1:1,85,55,33.5,87,28.4,√,√
77-48W PW,195-48W PW,1:1,77,48,35.0,83,29.1,√,x
77-55W PW,195-55W PW,1:1,67,55,26.5,87,23.3,×,√
100-40W PW,255-40W PW,1:1,57,40,32.5,67,21.8,√,√
100-40Y PW,255-40Y PW,1:1,57,40,32.5,67,23.4,√,√
120-31Y PW,305-31Y PW,1:1,49,31,35.0,50,17.8,√,
120-34W PW,305-34W PW,1:1,45,34,29.6,57,16.8,√,√
120-34Y PW,305-34Y PW,1:1,45,34,29.6,57,16.8,√,√
140-31Y PW,355-31Y PW,1:1,36,31,26.0,49,12.9,×,√
140-34W PW,355-34W PW,1:1,31,34,19.4,58,11.3,×,√
140-34Y PW,355-34Y PW,1:1,31,34,19.4,58,11.3,×,√
150-31Y PW,380-31Y PW,1:1,32,31,23.3,49,11.4,×,
165-31Y PW,420-31Y PW,1:1,23,31,14.5,50,7.3,×,×
,,,,,,,,,
available ex-stock,,,,,,,,,√
upon order,,,,,,,,,x
